YEAR,COUNTY_NAME,Dist,DISTRICT_NAME,"2017-18 Total
K-12 Aid",2018-19 Governor's Budget Message (GBM) Total K-12 Aid,2018-19 Approp_Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Adjustment
Aid",TOTAL,"One Year
K-12 Aid
Difference",One Year Aid Percent Difference
2018-2019,Camden,4110,Pine Hill Boro,"16,804,200","17,672,150","17,672,150","14,914,421",0,"349,355","588,996","1,283,209","536,169",0,17672150,"867,950",5.17%
2018-2019,Camden,4590,Runnemede Boro,"4,994,548","5,252,852","5,252,852","4,326,621",0,"102,397","166,787","481,898","175,149",0,5252852,"258,304",5.17%
2018-2019,Camden,4790,Somerdale Boro,"3,180,008","3,233,018","3,233,018","2,536,895",0,"224,937","31,147","355,717","84,322",0,3233018,"53,010",1.67%
2018-2019,Camden,5035,Sterling High School Dist,"7,023,389","7,588,451","7,588,451","5,654,808",0,"1,052,324","50,358","659,492","171,469",0,7588451,"565,062",8.05%
2018-2019,Camden,5080,Stratford Boro,"4,564,897","4,814,012","4,814,012","3,811,884",0,"224,146","202,610","437,575","137,797",0,4814012,"249,115",5.46%
2018-2019,Camden,5400,Voorhees Twp,"5,562,934","5,792,251","5,455,083","2,916,383",0,0,"602,456","1,699,913","236,331",0,5455083,"-107,851",-1.94%
2018-2019,Camden,5560,Waterford Twp,"12,641,824","12,651,284","12,599,907","10,427,797",0,"357,504","632,435","981,906","200,265",0,12599907,"-41,917",-0.33%
2018-2019,Camden,5820,Winslow Twp,"44,023,246","44,819,875","43,913,242","38,341,995",0,0,"1,156,164","3,025,665","1,389,418",0,43913242,"-110,004",-0.25%
2018-2019,Camden,5900,Woodlynne Boro,"7,106,570","7,461,899","7,461,899","6,678,297",0,0,"54,174","479,936","249,492",0,7461899,"355,329",5.00%
2018-2019,Cape May,170,Avalon Boro,"73,609","74,635","73,041",0,0,0,"28,649","39,551","4,841",0,73041,-568,-0.77%
2018-2019,Cape May,710,Cape May City,"557,830","557,830","548,386",0,0,"179,532","5,993","78,905","40,306","243,650",548386,"-9,444",-1.69%
2018-2019,Cape May,720,Cape May Co Vocational,"1,396,049","1,479,890","1,396,049",0,0,0,0,"447,941","79,387","868,721",1396049,0,0.00%
2018-2019,Cape May,730,Cape May Point,"26,469","27,198","25,484",0,0,0,"1,796","5,348",368,"17,972",25484,-985,-3.72%
2018-2019,Cape May,1080,Dennis Twp,"6,043,714","6,043,714","5,805,257","1,063,893",0,0,"653,808","504,067","102,940","3,480,549",5805257,"-238,457",-3.95%
2018-2019,Cape May,2820,Lower Cape May Regional,"9,840,541","9,840,541","9,528,612","95,936",0,"1,227,303","1,178,704","862,052","350,566","5,814,051",9528612,"-311,929",-3.17%
2018-2019,Cape May,2840,Lower Twp,"9,973,604","10,067,100","9,894,237","5,202,298",0,"992,448","836,392","912,905","492,388","1,457,806",9894237,"-79,367",-0.80%
2018-2019,Cape May,3130,Middle Twp,"13,318,269","13,490,663","13,162,732","6,227,922",0,"221,595","1,570,041","1,437,131","608,776","3,097,267",13162732,"-155,537",-1.17%
2018-2019,Cape May,3680,North Wildwood City,"659,074","695,228","637,193",0,0,0,"49,582","156,877","67,830","362,904",637193,"-21,881",-3.32%
2018-2019,Cape May,3780,Ocean City,"3,804,445","3,949,402","3,949,402",0,0,"2,770,606","252,189","723,537","203,070",0,3949402,"144,957",3.81%
2018-2019,Cape May,4700,Sea Isle City,"250,659","262,339","245,329",0,0,0,"96,010","65,411","16,305","67,603",245329,"-5,330",-2.13%
2018-2019,Cape May,5060,Stone Harbor Boro,"52,892","54,788","52,341",0,0,0,"19,899","23,364","2,797","6,281",52341,-551,-1.04%
2018-2019,Cape May,5340,Upper Twp,"9,985,263","10,123,795","9,817,125","4,307,772",0,"513,912","1,445,583","1,280,868","179,311","2,089,679",9817125,"-168,138",-1.68%
2018-2019,Cape May,5610,West Cape May Boro,"630,246","647,699","647,503",0,0,"570,351","5,258","59,960","11,934",0,647503,"17,257",2.74%
2018-2019,Cape May,5700,West Wildwood,"40,543","46,173","42,928",0,0,0,"6,184","33,700","3,044",0,42928,"2,385",5.88%
2018-2019,Cape May,5790,Wildwood City,"5,106,852","5,252,878","4,993,657","863,844",0,0,"119,536","542,470","306,033","3,161,774",4993657,"-113,195",-2.22%
2018-2019,Cape May,5800,Wildwood Crest Boro,"687,616","702,378","693,621",0,0,"201,600","52,476","177,729","49,788","212,028",693621,"6,005",0.87%
2018-2019,Cape May,5840,Woodbine Boro,"2,941,904","2,970,547","2,929,570","1,802,434",0,"31,836","164,200","150,703","94,856","685,541",2929570,"-12,334",-0.42%
2018-2019,Cumberland,540,Bridgeton City,"82,864,389","86,812,555","86,812,555","74,291,890","3,901,078",0,"1,037,407","4,870,215","2,711,965",0,86812555,"3,948,166",4.77%
2018-2019,Cumberland,950,Commercial Twp,"10,269,118","10,269,118","9,310,905","9,277,063",0,0,0,"33,842",0,0,9310905,"-958,213",-9.33%
2018-2019,Cumberland,995,Cumberland Co Vocational,"4,049,193","4,251,653","5,275,456","4,635,689",0,0,0,"479,308","160,459",0,5275456,"1,226,263",30.28%
2018-2019,Cumberland,997,Cumberland Regional,"12,390,855","12,891,242","12,891,242","10,276,499",0,"1,077,775","597,693","708,459","230,816",0,12891242,"500,387",4.04%
2018-2019,Cumberland,1020,Deerfield Twp,"2,565,216","2,629,347","2,629,347","2,293,160",0,0,"95,887","194,666","45,634",0,2629347,"64,131",2.50%
2018-2019,Cumberland,1120,Downe Twp,"1,820,611","1,820,611","1,788,499","1,148,599",0,"281,375","117,588","109,379","40,699","90,859",1788499,"-32,112",-1.76%
2018-2019,Cumberland,1460,Fairfield Twp,"6,106,657","6,112,220","6,106,657","5,178,123",0,0,"163,986","357,285","168,555","238,708",6106657,0,0.00%
2018-2019,Cumberland,1820,Greenwich Twp,"420,330","431,552","414,507","189,820",0,0,"30,102","37,201","7,420","149,964",414507,"-5,823",-1.39%
2018-2019,Cumberland,2270,Hopewell Twp,"3,425,096","3,477,942","3,465,942","2,683,582",0,0,"197,184","279,437","89,617","216,122",3465942,"40,846",1.19%
2018-2019,Cumberland,2570,Lawrence Twp,"6,221,388","6,300,372","6,300,372","5,206,532",0,"510,400","87,111","335,985","160,344",0,6300372,"78,984",1.27%
2018-2019,Cumberland,3050,Maurice River Twp,"4,767,121","4,854,652","4,854,652","3,565,907",0,"487,305","345,391","332,611","123,438",0,4854652,"87,531",1.84%
2018-2019,Cumberland,3230,Millville City,"67,197,040","67,381,936","67,197,040","49,661,944",0,0,"1,606,779","2,788,642","1,838,491","11,301,184",67197040,0,0.00%
2018-2019,Cumberland,5070,Stow Creek Twp,"818,225","832,132","800,464","566,534",0,0,"55,120","88,149","17,125","73,536",800464,"-17,761",-2.17%
2018-2019,Cumberland,5300,Upper Deerfield Twp,"6,476,862","6,800,705","6,800,705","5,767,704",0,0,"380,486","465,051","187,464",0,6800705,"323,843",5.00%
2018-2019,Cumberland,5390,Vineland City,"134,750,848","135,167,969","134,746,158","90,151,959",0,"17,910","4,794,073","5,294,946","3,354,282","31,132,988",134746158,"-4,690",0.00%
2018-2019,Essex,250,Belleville Town,"26,986,513","28,335,839","28,335,839","22,910,926",0,0,"625,449","3,112,840","1,686,624",0,28335839,"1,349,326",5.00%
2018-2019,Essex,410,Bloomfield Twp,"23,020,310","24,171,326","27,671,326","19,457,946",0,0,"645,917","5,770,059","1,797,404",0,27671326,"4,651,016",20.20%
2018-2019,Essex,660,Caldwell-West Caldwell,"1,178,327","1,275,568","1,644,641",0,0,0,"342,698","1,075,651","226,292",0,1644641,"466,314",39.57%
2018-2019,Essex,760,Cedar Grove Twp,"850,192","958,315","1,044,907",0,0,0,"284,386","703,504","57,017",0,1044907,"194,715",22.90%
2018-2019,Essex,1210,East Orange,"175,158,952","176,273,478","175,087,372","134,162,325",0,0,"1,172,856","7,715,286","4,014,478","28,022,427",175087372,"-71,580",-0.04%
2018-2019,Essex,1390,Essex Co Voc-Tech,"21,094,830","22,149,572","22,149,572","19,457,222",0,0,0,"1,659,351","1,032,999",0,22149572,"1,054,742",5.00%
2018-2019,Essex,1400,Essex Fells Boro,"106,106","118,558","121,697",0,0,0,"9,597","95,332","16,768",0,121697,"15,591",14.69%
2018-2019,Essex,1465,Fairfield Twp,"344,075","392,491","452,740",0,0,0,"148,937","291,435","12,368",0,452740,"108,665",31.58%
2018-2019,Essex,1750,Glen Ridge Boro,"856,408","946,051","1,104,993",0,0,0,"123,908","833,204","147,881",0,1104993,"248,585",29.03%
2018-2019,Essex,2330,Irvington Township,"113,477,223","117,691,353","117,691,353","83,991,098",0,0,"1,164,430","6,835,301","3,649,144","22,051,380",117691353,"4,214,130",3.71%
2018-2019,Essex,2730,Livingston Twp,"2,923,821","3,271,039","4,137,165",0,0,0,"1,303,530","2,398,755","434,880",0,4137165,"1,213,344",41.50%
2018-2019,Essex,3190,Millburn Twp,"2,287,588","2,465,231","3,171,659",0,0,0,"788,722","1,993,839","389,098",0,3171659,"884,071",38.65%
2018-2019,Essex,3310,Montclair Town,"6,891,951","7,428,526","7,428,526",0,0,0,"1,175,389","5,175,373","755,225","322,539",7428526,"536,575",7.79%
2018-2019,Essex,3570,Newark City,"750,118,011","787,623,912","787,623,912","695,804,873",0,0,"8,523,133","45,823,149","24,632,298","12,840,459",787623912,"37,505,901",5.00%
2018-2019,Essex,3630,North Caldwell Boro,"279,958","286,957","401,829",0,0,0,"84,466","265,382","51,981",0,401829,"121,871",43.53%
2018-2019,Essex,3750,Nutley Town,"7,237,573","7,599,452","7,599,452","4,478,673",0,0,"588,055","2,451,565","81,159",0,7599452,"361,879",5.00%
2018-2019,Essex,3880,City Of Orange Twp,"75,202,477","78,604,954","78,604,954","63,149,604","7,152,931",0,"1,195,106","4,633,802","2,473,511",0,78604954,"3,402,477",4.52%
2018-2019,Essex,4530,Roseland Boro,"295,749","331,216","331,216",0,0,0,"72,082","251,078","8,056",0,331216,"35,467",11.99%
2018-2019,Essex,4900,South Orange-Maplewood,"4,549,527","5,033,885","5,033,885",0,0,0,"1,020,280","3,825,617","187,988",0,5033885,"484,358",10.65%
2018-2019,Essex,5370,Verona Boro,"1,003,766","1,110,888","1,287,737",0,0,0,"103,500","1,008,607","175,630",0,1287737,"283,971",28.29%
2018-2019,Essex,5630,West Essex Regional,"1,145,989","1,280,625","1,391,687",0,0,0,"479,086","882,967","29,634",0,1391687,"245,698",21.44%
2018-2019,Essex,5680,West Orange Town,"8,551,053","8,793,832","12,293,832","3,234,482",0,0,"3,033,009","4,159,988","1,866,353",0,12293832,"3,742,779",43.77%
2018-2019,Gloucester,860,Clayton Boro,"10,308,407","10,803,765","10,803,765","9,055,079",0,"128,465","289,926","1,061,043","269,252",0,10803765,"495,358",4.81%
2018-2019,Gloucester,870,Clearview Regional,"15,000,094","15,000,094","14,906,929","12,745,719",0,0,"440,789","1,418,100","196,159","106,162",14906929,"-93,165",-0.62%
2018-2019,Gloucester,1100,Deptford Twp,"24,287,367","25,513,472","25,513,472","20,845,846",0,"144,228","1,711,578","2,328,005","483,815",0,25513472,"1,226,105",5.05%
2018-2019,Gloucester,1180,East Greenwich Twp,"3,648,914","3,831,360","4,087,465","2,305,163",0,0,"593,363","1,082,596","106,343",0,4087465,"438,551",12.02%
2018-2019,Gloucester,1330,Elk Twp,"2,533,604","2,559,674","2,551,049","2,013,576",0,"127,526","148,655","195,091","66,201",0,2551049,"17,445",0.69%
2018-2019,Gloucester,1590,Franklin Twp,"8,875,221","9,274,364","9,274,364","7,523,525",0,0,"836,192","737,647","177,000",0,9274364,"399,143",4.50%
2018-2019,Gloucester,1715,Gateway Regional,"7,670,486","8,004,738","8,004,738","6,007,866",0,"719,680","502,794","581,865","192,533",0,8004738,"334,252",4.36%
2018-2019,Gloucester,1730,Glassboro,"16,571,091","16,581,825","14,754,327","14,597,332",0,"156,995",0,0,0,0,14754327,"-1,816,764",-10.96%
2018-2019,Gloucester,1775,Gloucester Co Vocational,"7,980,648","8,379,681","8,379,681","7,211,480",0,0,0,"1,054,667","113,534",0,8379681,"399,033",5.00%
2018-2019,Gloucester,1830,Greenwich Twp,"1,110,286","1,193,435","1,089,802",0,0,0,"272,578","399,234","133,562","284,428",1089802,"-20,484",-1.85%
2018-2019,Gloucester,2070,Harrison Twp,"6,171,027","6,171,027","6,095,292","5,034,332",0,0,"153,456","800,303","107,201",0,6095292,"-75,735",-1.23%
2018-2019,Gloucester,2440,Kingsway Regional,"9,599,143","10,079,100","11,729,113","7,829,675",0,0,"1,518,262","2,148,364","232,812",0,11729113,"2,129,970",22.19%
2018-2019,Gloucester,2750,Logan Twp,"5,308,079","5,448,266","5,215,466","3,990,950",0,"12,270","314,926","768,262","129,058",0,5215466,"-92,613",-1.75%
2018-2019,Gloucester,2990,Mantua Twp,"6,171,701","6,272,179","6,136,081","5,286,989",0,0,"92,254","731,840","24,998",0,6136081,"-35,620",-0.58%
2018-2019,Gloucester,3280,Monroe Twp,"35,740,575","37,527,604","37,527,604","30,871,828",0,0,"2,064,093","3,586,669","1,005,014",0,37527604,"1,787,029",5.00%
2018-2019,Gloucester,3490,National Park Boro,"2,098,195","2,150,650","2,150,650","1,918,294",0,0,"15,950","152,723","63,683",0,2150650,"52,455",2.50%
2018-2019,Gloucester,3580,Newfield Boro,"1,467,748","1,504,442","1,504,442","1,198,510",0,0,"132,194","130,013","43,725",0,1504442,"36,694",2.50%
2018-2019,Gloucester,4020,Paulsboro Boro,"12,436,023","13,068,258","13,068,258","11,611,950",0,"63,390","179,476","715,226","498,216",0,13068258,"632,235",5.08%
2018-2019,Gloucester,4140,Pitman Boro,"9,664,663","9,753,504","9,585,915","7,117,182",0,0,"148,522","925,239","142,285","1,252,687",9585915,"-78,748",-0.81%
2018-2019,Gloucester,4880,South Harrison Twp,"1,657,978","1,692,928","1,692,928","992,141",0,"222,822","140,825","302,902","34,238",0,1692928,"34,950",2.11%
2018-2019,Gloucester,4940,Delsea Regional H.S Dist.,"14,013,937","14,077,626","14,016,426","12,086,304",0,"503,100","239,518","956,261","231,243",0,14016426,"2,489",0.02%
2018-2019,Gloucester,5120,Swedesboro-Woolwich,"7,217,672","7,578,556","7,578,556","5,392,312",0,0,"665,956","1,357,452","162,836",0,7578556,"360,884",5.00%
2018-2019,Gloucester,5500,Washington Twp,"49,112,999","50,129,548","48,629,792","38,162,410",0,0,"2,909,313","5,556,586","944,104","1,057,379",48629792,"-483,207",-0.98%
2018-2019,Gloucester,5590,Wenonah Boro,"500,494","503,113","483,014","348,977",0,0,0,"134,037",0,0,483014,"-17,480",-3.49%
2018-2019,Gloucester,5620,West Deptford Twp,"12,335,282","12,952,046","12,952,046","9,917,725",0,0,"1,034,656","1,706,085","293,580",0,12952046,"616,764",5.00%
2018-2019,Gloucester,5740,Westville Boro,"2,551,492","2,679,067","2,679,067","2,342,905",0,0,"28,684","183,022","124,456",0,2679067,"127,575",5.00%
2018-2019,Gloucester,5860,Woodbury City,"12,425,436","13,061,553","13,061,553","11,234,944",0,"146,502","170,342","1,010,493","499,272",0,13061553,"636,117",5.12%
2018-2019,Gloucester,5870,Woodbury Heights Boro,"1,002,506","1,013,752","988,769","850,798",0,0,0,"134,019","3,952",0,988769,"-13,737",-1.37%
2018-2019,Hudson,220,Bayonne City,"56,916,073","59,761,877","60,003,961","49,790,766",0,0,"403,763","6,370,555","3,438,877",0,60003961,"3,087,888",5.43%
2018-2019,Hudson,1200,East Newark Boro,"3,578,845","3,757,787","3,757,787","3,257,718",0,0,"16,052","310,863","173,154",0,3757787,"178,942",5.00%
2018-2019,Hudson,1850,Guttenberg Town,"5,784,546","6,073,773","7,566,110","5,712,500",0,0,"60,778","1,189,648","603,184",0,7566110,"1,781,564",30.80%
2018-2019,Hudson,2060,Harrison Town,"25,459,593","26,176,691","26,176,691","23,132,725",0,0,"157,728","1,907,024","979,214",0,26176691,"717,098",2.82%
2018-2019,Hudson,2210,Hoboken City,"10,468,870","10,468,870","9,941,346",0,0,"2,357,767","124,453","1,604,666","750,149","5,104,311",9941346,"-527,524",-5.04%
2018-2019,Hudson,2295,Hudson County Vocational,"21,293,444","22,358,116","22,358,116","19,412,696",0,0,"818,768","1,494,362","632,290",0,22358116,"1,064,672",5.00%
2018-2019,Hudson,2390,Jersey City,"410,404,292","412,268,006","406,904,292","270,661,365","125,411",0,"4,423,777","18,332,551","12,648,342","100,712,846",406904292,"-3,500,000",-0.85%
2018-2019,Hudson,2410,Kearny Town,"33,119,896","34,775,891","38,275,891","30,794,824",0,0,"239,445","5,200,975","2,040,647",0,38275891,"5,155,995",15.57%
2018-2019,Hudson,3610,North Bergen Twp,"58,323,031","61,239,183","61,239,183","51,895,086",0,0,"747,436","5,808,963","2,787,698",0,61239183,"2,916,152",5.00%
2018-2019,Hudson,4730,Secaucus Town,"1,130,674","1,260,040","1,642,573",0,0,0,"546,399","905,004","191,170",0,1642573,"511,899",45.27%
2018-2019,Hudson,5240,Union City,"181,132,094","190,188,699","190,188,699","172,460,469",0,0,"475,492","11,029,654","6,223,084",0,190188699,"9,056,605",5.00%
2018-2019,Hudson,5580,Weehawken Twp,"2,668,254","2,789,710","2,607,369",0,0,0,"150,232","900,996","351,824","1,204,317",2607369,"-60,885",-2.28%
2018-2019,Hudson,5670,West New York Town,"95,592,169","100,371,778","100,371,778","88,954,210",0,0,"928,926","6,886,808","3,601,834",0,100371778,"4,779,609",5.00%
2018-2019,Hunterdon,20,Alexandria Twp,"1,646,845","1,646,845","1,481,664","644,612",0,"204,525","193,439","396,410","42,678",0,1481664,"-165,181",-10.03%
2018-2019,Hunterdon,370,Bethlehem Twp,"1,545,815","1,583,116","1,506,188","984,263",0,"67,410","113,737","303,137","37,641",0,1506188,"-39,627",-2.56%
2018-2019,Hunterdon,430,Bloomsbury Boro,"1,349,435","1,349,435","845,861","632,463",0,"213,398",0,0,0,0,845861,"-503,574",-37.32%
2018-2019,Hunterdon,670,Califon Boro,"320,754","320,754","311,992","149,438",0,"52,820","13,884","93,822","2,028",0,311992,"-8,762",-2.73%
2018-2019,Hunterdon,910,Clinton Town,"1,251,653","1,300,037","1,306,579","642,932",0,"54,588","101,114","254,322","38,137","215,486",1306579,"54,926",4.39%
2018-2019,Hunterdon,920,Clinton Twp,"2,323,341","2,323,341","2,020,647",0,0,"260,897","655,670","1,008,514","95,566",0,2020647,"-302,694",-13.03%
2018-2019,Hunterdon,1040,Delaware Twp,"1,163,425","1,163,425","1,129,910",0,0,"300,506","167,383","267,084","34,010","360,927",1129910,"-33,515",-2.88%
2018-2019,Hunterdon,1050,Delaware Valley Regional,"4,005,830","4,087,941","3,858,416","3,173,700",0,0,"17,291","592,662","74,763",0,3858416,"-147,414",-3.68%
2018-2019,Hunterdon,1160,East Amwell Twp,"884,867","884,867","876,130",0,0,"313,500","181,957","280,435","37,939","62,299",876130,"-8,737",-0.99%
2018-2019,Hunterdon,1376,South-Hunterdon,"2,290,421","2,367,203","2,367,203",0,0,"1,383,525","314,641","543,146","125,891",0,2367203,"76,782",3.35%
2018-2019,Hunterdon,1510,Flemington-Raritan Reg,"6,159,367","6,406,476","6,047,258","3,522,651",0,0,"297,208","2,087,364","140,035",0,6047258,"-112,109",-1.82%
2018-2019,Hunterdon,1600,Franklin Twp,"340,425","340,425","340,425",0,0,"80,440","49,027","191,952","16,949","2,057",340425,0,0.00%
2018-2019,Hunterdon,1680,Frenchtown Boro,"746,265","784,533","760,583","508,039",0,"187,083",0,"65,461",0,0,760583,"14,318",1.92%
2018-2019,Hunterdon,1970,Hampton Boro,"958,360","958,360","917,383","652,633",0,"117,528","27,902","84,197","24,029","11,094",917383,"-40,977",-4.28%
2018-2019,Hunterdon,2140,High Bridge Boro,"1,488,722","1,522,119","1,437,321","1,051,015",0,"32,997","14,338","273,011","34,384","31,576",1437321,"-51,401",-3.45%
2018-2019,Hunterdon,2220,Holland Twp,"1,819,736","1,867,862","1,814,732","1,291,479",0,"104,144","36,300","373,356","9,453",0,1814732,"-5,004",-0.28%
2018-2019,Hunterdon,2300,Hunterdon Central Reg,"5,719,700","5,982,704","5,680,990","3,185,863",0,"279,918","326,420","1,840,406","48,383",0,5680990,"-38,710",-0.68%
2018-2019,Hunterdon,2308,Hunterdon Co Vocational,"933,283","960,175","933,283","241,040",0,0,0,"158,471","31,411","502,361",933283,0,0.00%
2018-2019,Hunterdon,2450,Kingwood Twp,"1,294,296","1,307,593","1,273,138","441,447",0,"150,304","166,282","259,824","31,021","224,260",1273138,"-21,158",-1.64%
2018-2019,Hunterdon,2590,Lebanon Boro,"191,691","201,651","201,651",0,0,"54,884","24,207","110,762","11,798",0,201651,"9,960",5.20%
2018-2019,Hunterdon,2600,Lebanon Twp,"2,331,396","2,346,951","2,294,890","1,058,133",0,"413,100","320,578","448,913","54,166",0,2294890,"-36,506",-1.57%
2018-2019,Hunterdon,3180,Milford Boro,"334,550","339,905","329,997","202,744",0,"74,841",0,"52,412",0,0,329997,"-4,553",-1.36%
2018-2019,Hunterdon,3660,N Hunt/Voorhees Regional,"5,554,323","5,839,593","5,455,854","3,405,928",0,0,"267,039","1,738,465","44,422",0,5455854,"-98,469",-1.77%
2018-2019,Hunterdon,4350,Readington Twp,"1,458,386","1,614,266","1,614,266",0,0,0,"394,345","1,150,343","69,578",0,1614266,"155,880",10.69%
2018-2019,Hunterdon,5180,Tewksbury Twp,"907,770","933,991","933,991",0,0,"347,178","173,355","356,903","56,555",0,933991,"26,221",2.89%
2018-2019,Hunterdon,5270,Union Twp,"577,634","639,966","639,966",0,0,0,"233,413","355,273","36,554","14,726",639966,"62,332",10.79%
2018-2019,Mercer,1245,East Windsor Regional,"20,129,621","21,136,102","24,011,724","16,187,246",0,0,"2,095,914","4,472,603","1,255,961",0,24011724,"3,882,103",19.29%
2018-2019,Mercer,1430,Ewing Twp,"10,278,777","10,535,747","12,150,645","7,421,541",0,0,"1,023,175","2,681,096","1,024,833",0,12150645,"1,871,868",18.21%
2018-2019,Mercer,1950,Hamilton Twp,"73,888,102","74,115,381","74,115,381","64,409,125",0,0,"1,446,373","7,629,324","630,559",0,74115381,"227,279",0.31%
2018-2019,Mercer,2280,Hopewell Valley Regional,"2,966,788","3,239,777","3,239,777",0,0,"252,504","760,010","2,164,734","62,529",0,3239777,"272,989",9.20%
2018-2019,Mercer,2580,Lawrence Twp,"3,618,964","3,948,118","3,948,118",0,0,0,"1,102,884","2,423,722","421,512",0,3948118,"329,154",9.10%
2018-2019,Mercer,3105,Mercer County Vocational,"2,498,009","2,622,910","2,622,910","2,107,427",0,0,0,"293,805","118,657","103,021",2622910,"124,901",5.00%
2018-2019,Mercer,4255,Princeton,"3,547,845","4,023,203","4,023,203",0,0,0,"869,413","2,674,637","371,547","107,606",4023203,"475,358",13.40%
2018-2019,Mercer,5210,Trenton City,"230,692,142","242,226,749","242,226,749","196,833,801",0,0,"4,524,728","13,190,389","7,239,256","20,438,575",242226749,"11,534,607",5.00%
2018-2019,Mercer,5510,Robbinsville Twp,"3,122,798","3,278,938","6,778,938","2,564,458",0,0,"1,168,077","2,787,359","259,044",0,6778938,"3,656,140",117.10%
2018-2019,Mercer,5715,W Windsor-Plainsboro Reg,"7,854,528","8,563,582","8,563,582","546,130",0,0,"1,898,118","5,946,283","173,051",0,8563582,"709,054",9.03%
2018-2019,Middlesex,750,Carteret Boro,"27,834,738","29,226,475","29,226,475","24,379,037",0,0,"511,027","2,809,761","1,526,650",0,29226475,"1,391,737",5.00%
2018-2019,Middlesex,970,Cranbury Twp,"506,963","572,483","581,747",0,0,0,"163,336","404,655","13,756",0,581747,"74,784",14.75%
2018-2019,Middlesex,1140,Dunellen Boro,"5,890,347","6,184,864","7,638,769","6,155,892",0,0,"76,133","1,045,367","361,377",0,7638769,"1,748,422",29.68%
2018-2019,Middlesex,1170,East Brunswick Twp,"18,198,710","18,761,697","18,761,697","11,737,848",0,0,"1,491,445","5,355,986","176,418",0,18761697,"562,987",3.09%
2018-2019,Middlesex,1290,Edison Twp,"15,492,024","16,266,625","19,766,625","5,003,761",0,0,"4,964,654","8,719,977","1,078,233",0,19766625,"4,274,601",27.59%
2018-2019,Middlesex,2150,Highland Park Boro,"3,885,439","3,982,575","3,982,575","2,792,423",0,0,"240,771","901,509","47,872",0,3982575,"97,136",2.50%
2018-2019,Middlesex,2370,Jamesburg Boro,"5,353,086","5,620,740","5,859,136","4,716,128",0,0,"78,155","778,217","286,636",0,5859136,"506,050",9.45%
2018-2019,Middlesex,3120,Metuchen Boro,"1,156,163","1,294,983","1,369,754",0,0,0,"226,496","985,204","158,054",0,1369754,"213,591",18.47%
2018-2019,Middlesex,3140,Middlesex Boro,"9,122,803","9,578,943","9,578,943","7,600,453",0,0,"333,032","1,286,114","359,344",0,9578943,"456,140",5.00%
2018-2019,Middlesex,3150,Middlesex Co Vocational,"13,520,974","14,197,023","14,197,023","12,182,856",0,0,0,"1,421,678","592,489",0,14197023,"676,049",5.00%
2018-2019,Middlesex,3220,Milltown Boro,"1,186,590","1,234,838","1,482,795","490,212",0,0,"302,474","603,646","86,463",0,1482795,"296,205",24.96%
2018-2019,Middlesex,3290,Monroe Twp,"3,290,469","3,635,098","5,291,700",0,0,0,"2,753,019","2,434,917","103,764",0,5291700,"2,001,231",60.82%
2018-2019,Middlesex,3530,New Brunswick City,"126,873,046","133,216,698","133,216,698","118,630,422",0,0,"1,347,414","8,630,083","4,608,779",0,133216698,"6,343,652",5.00%
2018-2019,Middlesex,3620,North Brunswick Twp,"14,621,189","15,352,249","18,852,249","9,550,103",0,0,"2,310,618","5,372,023","1,619,505",0,18852249,"4,231,060",28.94%
2018-2019,Middlesex,3845,Old Bridge Twp,"44,779,742","45,227,400","44,170,566","36,713,533",0,0,"1,049,333","5,572,334","835,366",0,44170566,"-609,176",-1.36%
2018-2019,Middlesex,4090,Perth Amboy City,"161,347,542","168,100,857","168,100,857","140,915,438","11,689,337",0,"1,705,200","9,001,769","4,789,113",0,168100857,"6,753,315",4.19%
2018-2019,Middlesex,4130,Piscataway Twp,"16,906,426","17,751,747","19,574,029","10,682,561",0,0,"3,188,747","4,407,101","1,295,620",0,19574029,"2,667,603",15.78%
2018-2019,Middlesex,4660,Sayreville Boro,"22,330,303","23,446,818","25,454,867","16,439,333",0,0,"2,289,895","5,243,822","1,481,817",0,25454867,"3,124,564",13.99%
2018-2019,Middlesex,4830,South Amboy City,"6,627,860","6,627,860","6,627,860","5,719,489",0,0,"154,764","686,228","63,955","3,424",6627860,0,0.00%
2018-2019,Middlesex,4860,South Brunswick Twp,"23,651,279","24,833,843","24,833,843","17,015,512",0,0,"2,155,118","5,479,892","183,321",0,24833843,"1,182,564",5.00%
2018-2019,Middlesex,4910,South Plainfield Boro,"9,202,688","9,284,240","9,284,240","6,636,433",0,0,"305,134","2,230,194","112,479",0,9284240,"81,552",0.89%
2018-2019,Middlesex,4920,South River Boro,"13,314,062","13,979,765","13,979,765","10,921,568",0,0,"502,357","1,910,698","645,142",0,13979765,"665,703",5.00%
2018-2019,Middlesex,4970,Spotswood,"6,278,845","6,592,788","6,592,788","5,204,784",0,0,"236,772","990,548","160,684",0,6592788,"313,943",5.00%
2018-2019,Middlesex,5850,Woodbridge Twp,"28,997,676","30,447,560","33,947,560","18,914,654",0,0,"4,389,122","7,858,506","2,785,278",0,33947560,"4,949,884",17.07%
2018-2019,Monmouth,50,Allenhurst,"46,964","49,564","45,359",0,0,0,"19,617","2,702",388,"22,652",45359,"-1,605",-3.42%
2018-2019,Monmouth,100,Asbury Park City,"54,448,308","55,244,435","53,166,244","28,163,553",0,0,"478,668","1,858,487","1,114,203","21,551,333",53166244,"-1,282,064",-2.36%
